batch_id,batch_type,ranks,protocol_version,screened_at,input_queue_path,input_queue_sha256,screened_rows_path,screened_rows_sha256,decision_count,included,excluded,unclear,provenance_status,quality_gates_passed,notes
B001,title_abstract,1-20,AI_SCREENING_V1,2026-07-22T15:13:11Z,outputs/screening_queue_2026-07-22/screening_queue.csv,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,outputs/screening_batches/batch_001_ranks_1-20/screened_rows.csv,699ae8e406c912e463905b61a357c91a979cab06bd4c87d7add1b0dde73595f3,20,19,1,0,migrated_from_original_snapshot,true,Original screened_rows.csv existed and was structurally valid; converted to normalized schema.
B002,title_abstract,21-40,AI_SCREENING_V1,2026-07-22T15:15:05Z,outputs/screening_queue_2026-07-22/screening_queue.csv,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,outputs/screening_batches/batch_002_ranks_21-40/screened_rows.csv,22fa9df43203bcdd4d5122d6d8f3f7c922328db253db2307f5d11ac00fc7eae2,20,19,1,0,reconstructed_from_curated_snapshot,true,Original batch-002 screened_rows.csv was missing; reconstructed from the curated decisions snapshot.
QA001,qa_correction,20,AI_SCREENING_V1,2026-07-22T15:13:11Z,outputs/screening_queue_2026-07-22/screening_queue.csv,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,outputs/screening_batches/qa_001_rank_20/screened_rows.csv,505b96297dfcb62f81ec9e599b54415c3cb96f2ff41834530101a64356a260e9,1,0,1,0,reconstructed_from_original_and_qa_note,true,Restores original rank-20 include event and records the later exclusion as a superseding event.
B003,title_abstract,41-60,AI_SCREENING_V1,2026-07-22T16:25:00Z,outputs/screening_queue_2026-07-22/screening_queue.csv,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,outputs/screening_batches/batch_003_ranks_41-60/screened_rows.csv,b07556c01eb246c68fc07038fa9bc1683877b85a909673ddcde44580a053de7b,20,18,2,0,reconstructed_from_headerless_snapshot,true,Original batch-003 screened_rows.csv lacked a header; reconstructed from active decisions and verified against the queue.
B004,title_abstract,61-80,AI_SCREENING_V1,2026-07-22T18:20:00Z,outputs/screening_queue_2026-07-22/screening_queue.csv,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,outputs/screening_batches/batch_004_ranks_61-80/screened_rows.csv,877360378ca6b6752ae05167103b5997d6c857e25022bf7763c8c3d7449f95e6,20,20,0,0,native_validated_batch,true,Finalized by scripts/research/finalize_screening_batch.py
B005,title_abstract,81-100,AI_SCREENING_V1,2026-07-22T18:30:00Z,outputs/screening_queue_2026-07-22/screening_queue.csv,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,outputs/screening_batches/batch_005_ranks_81-100/screened_rows.csv,80444c1fe3a51fa80cebe20f90ad1664f9fde15d7d851a605a902d56bfec21d9,20,19,1,0,native_validated_batch,true,Finalized by scripts/research/finalize_screening_batch.py
B006,title_abstract,101-120,AI_SCREENING_V1,2026-07-22T18:40:00Z,outputs/screening_queue_2026-07-22/screening_queue.csv,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,outputs/screening_batches/batch_006_ranks_101-120/screened_rows.csv,d4ea1d0bc7f89c7fda2dda7dc3438e2e57df8c737f9b2dbc0e6e119a6290b1e6,20,15,5,0,native_validated_batch,true,Finalized by scripts/research/finalize_screening_batch.py
B007,title_abstract,121-140,AI_SCREENING_V1,2026-07-22T18:50:00Z,outputs/screening_queue_2026-07-22/screening_queue.csv,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,outputs/screening_batches/batch_007_ranks_121-140/screened_rows.csv,6112057e1165a7d06ad8d9448e61d85e5824d9ea179130b16a99562cf35e7bd7,20,10,10,0,native_validated_batch,true,Finalized by scripts/research/finalize_screening_batch.py
B008,title_abstract,141-160,AI_SCREENING_V1,2026-07-22T19:00:00Z,outputs/screening_queue_2026-07-22/screening_queue.csv,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,outputs/screening_batches/batch_008_ranks_141-160/screened_rows.csv,b8e9288258a35557bfea686859c6e53832b56d34a440f9a44bc123d079e6a995,20,12,8,0,native_validated_batch,true,Finalized by scripts/research/finalize_screening_batch.py
B009,title_abstract,161-180,AI_SCREENING_V1,2026-07-22T19:10:00Z,outputs/screening_queue_2026-07-22/screening_queue.csv,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,outputs/screening_batches/batch_009_ranks_161-180/screened_rows.csv,3a2ae7a7db94daf2c34394fa13b2cef38c3eb6d063d393ce3eef7fdb73552d15,20,8,12,0,native_validated_batch,true,Finalized by scripts/research/finalize_screening_batch.py
